timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2026-05-20 17:33:19,0.00,23.54,2.30,13,healthy
2026-05-20 17:33:26,0.02,23.97,2.34,14,healthy
2026-05-20 17:33:31,98.75,350.4,34.22,58,healthy
2026-05-20 17:33:37,73.06,1024,100.00,13,healthy
2026-05-20 17:33:43,0.02,23.41,2.29,19,healthy
2026-05-20 17:33:48,0.02,25.43,2.48,15,healthy
2026-05-20 17:33:54,92.43,833.1,81.36,67,healthy
2026-05-20 17:34:00,0.03,23.3,2.28,17,healthy
2026-05-20 17:34:06,0.01,25.43,2.48,17,healthy
2026-05-20 17:34:12,100.91,820.5,80.13,68,healthy
2026-05-20 17:34:16,0.00,11,100.00,14,healthy
2026-05-20 17:34:22,4.48,23.48,2.29,16,healthy
2026-05-20 17:34:27,9.51,44.28,4.32,69,healthy
2026-05-20 17:34:34,101.28,1024,100.00,91,healthy
2026-05-20 17:34:40,0.01,1023,99.90,15,healthy
2026-05-20 17:34:46,0.02,1023,99.90,16,healthy
2026-05-20 17:34:51,0.01,23.42,2.29,14,healthy
2026-05-20 17:34:57,0.02,23.5,2.29,14,healthy
2026-05-20 17:35:03,98.05,1024,100.00,121,healthy
2026-05-20 17:35:09,0.02,23.41,2.29,17,healthy
2026-05-20 17:35:14,0.02,23.49,2.29,14,healthy
2026-05-20 17:35:20,92.51,968.1,94.54,143,healthy
2026-05-20 17:35:26,0.02,23.41,2.29,20,healthy
2026-05-20 17:35:31,0.02,23.5,2.29,14,healthy
2026-05-20 17:35:37,100.40,750.1,73.25,74,healthy
2026-05-20 17:35:43,0.00,23.32,2.28,15,healthy
2026-05-20 17:35:49,4.42,23.72,2.32,15,healthy
2026-05-20 17:35:54,101.16,593.9,58.00,140,healthy
2026-05-20 17:36:00,0.00,11,100.00,14,healthy
2026-05-20 17:36:06,4.19,23.73,2.32,20,healthy
2026-05-20 17:36:11,90.82,346.4,33.83,139,healthy
2026-05-20 17:36:17,28.92,1024,100.00,15,healthy
2026-05-20 17:36:23,0.02,23.41,2.29,15,healthy
2026-05-20 17:36:29,3.50,23.9,2.33,10,healthy
2026-05-20 17:36:35,100.32,948,92.58,238,healthy
2026-05-20 17:36:40,1.43,1024,100.00,17,healthy
2026-05-20 17:36:47,0.02,1024,100.00,15,healthy
2026-05-20 17:36:52,0.00,11,100.00,14,healthy
2026-05-20 17:36:58,5.23,23.73,2.32,17,healthy
2026-05-20 17:37:04,99.59,539.2,52.66,102,healthy
2026-05-20 17:37:10,98.52,1024,100.00,11,healthy
2026-05-20 17:37:16,90.92,1024,100.00,204,healthy
2026-05-20 17:37:21,0.02,1024,100.00,16,healthy
2026-05-20 17:37:27,0.04,1024,100.00,17,healthy
2026-05-20 17:37:33,0.00,23.54,2.30,15,healthy
2026-05-20 17:37:39,0.02,23.5,2.29,16,healthy
2026-05-20 17:37:44,100.20,554.6,54.16,49,healthy
2026-05-20 17:37:50,99.24,1009,98.54,6,unhealthy
2026-05-20 17:37:56,100.04,1024,100.00,24,healthy
2026-05-20 17:38:00,0.00,11,100.00,16,healthy
2026-05-20 17:38:06,4.58,23.48,2.29,15,healthy
2026-05-20 17:38:11,45.51,180.1,17.59,77,healthy
2026-05-20 17:38:17,68.54,1024,100.00,100,healthy
2026-05-20 17:38:23,0.03,23.43,2.29,18,healthy
2026-05-20 17:38:29,0.03,23.51,2.30,51,healthy
2026-05-20 17:38:36,100.32,1024,100.00,28,healthy
2026-05-20 17:38:41,0.02,23.42,2.29,14,healthy
2026-05-20 17:38:47,0.02,23.5,2.29,11,healthy
2026-05-20 17:38:53,94.82,885.5,86.47,139,healthy
2026-05-20 17:38:59,0.02,23.48,2.29,11,healthy
2026-05-20 17:39:04,0.03,23.48,2.29,14,healthy
